,움직임(z축 X)_1,움직임(z축 X)_0
1206,2.533,3.264
1207,2.551,3.453
1208,2.555,3.352
1209,2.547,3.444
1210,2.548,3.047
1211,2.678,2.796
1212,2.688,2.542
1213,2.88,2.551
1214,3.243,2.888
1215,2.779,2.582
1216,2.844,2.582
1217,2.717,2.528
1218,2.653,2.949
1219,2.771,3.349
1220,2.78,3.439
1221,3.014,3.314
1222,2.547,3.559
1223,2.602,3.257
1224,2.52,3.349
1225,2.581,3.624
1226,2.517,3.472
1227,2.524,2.559
1228,2.519,3.503
1229,2.515,2.943
1230,2.661,2.678
1231,2.591,2.639
1232,2.368,2.616
1233,2.457,2.627
1234,3.238,2.701
1235,2.541,2.709
1236,2.527,2.967
1237,2.54,2.705
1238,2.546,2.687
1239,2.755,2.689
1240,2.479,2.601
1241,2.486,2.684
1242,2.489,2.688
1243,2.484,2.616
1244,2.483,3.652
1245,2.487,3.279
1246,2.515,3.236
1247,2.502,3.022
1248,2.517,2.925
1249,2.545,3.21
1250,2.664,3.189
1251,2.328,2.911
1252,2.182,3.456
1253,2.186,3.424
1254,2.126,3.379
1255,2.118,2.907
1256,2.258,2.899
1257,2.121,2.76
1258,2.118,2.675
1259,2.358,2.603
1260,2.26,2.585
1261,2.618,2.603
1262,2.41,2.67
1263,3.471,2.587
1264,2.701,2.58
1265,2.899,2.575
1266,2.945,2.584
1267,3.449,2.658
1268,3.042,2.572
1269,2.318,2.575
1270,2.815,2.583
1271,2.945,2.586
1272,2.83,2.586
1273,3.648,2.605
1274,3.636,2.73
1275,2.29,2.725
1276,2.123,2.679
1277,2.255,2.737
1278,2.263,2.669
1279,2.189,2.699
1280,3.107,2.726
1281,3.134,2.674
1282,3.052,2.75
1283,3.539,3.261
1284,2.285,2.699
1285,2.2,3.022
1286,2.216,2.964
1287,2.608,3.393
1288,3.008,3.322
1289,2.89,3.432
1290,2.523,3.592
1291,2.621,2.927
1292,3.256,2.872
1293,2.871,2.906
1294,3.562,2.994
1295,3.105,2.92
1296,2.567,3.277
1297,3.212,3.117
1298,2.682,3.347
1299,2.68,2.855
1300,3.49,2.729
1301,2.805,2.728
1302,3.616,2.721
1303,2.708,2.737
1304,2.921,2.745
1305,2.997,2.758
1306,3.372,2.986
1307,2.784,3.397
1308,2.658,3.202
1309,3.458,3.154
1310,3.183,3.023
1311,2.605,2.844
1312,3.041,2.784
1313,2.845,2.797
1314,2.937,2.84
1315,3.033,2.789
1316,2.827,3.177
1317,3.083,3.181
1318,2.806,3.017
1319,2.72,3.275
1320,2.724,2.803
1321,2.916,2.803
1322,3.023,3.455
1323,3.272,3.07
1324,3.053,2.857
1325,2.88,3.209
1326,3.403,3.122
1327,2.966,2.887
1328,3.059,2.965
1329,2.805,3.059
1330,2.997,2.91
1331,3.38,2.863
1332,2.988,2.841
1333,2.68,2.902
1334,2.667,2.951
1335,2.685,2.857
1336,2.689,2.904
1337,2.681,3.131
1338,2.673,2.781
1339,2.666,2.838
1340,2.667,2.896
1341,2.665,2.874
1342,2.667,2.877
1343,2.667,2.945
1344,2.661,2.941
1345,2.658,2.784
1346,2.665,2.963
